ano,genero,senioridade,respondentes,salario_medio,salario_mediano_interpolado,percentual
2023,Feminino,Gestao,168,14964.800595238095,14054.54054054054,18.75
2023,Feminino,Junior,299,3694.4682274247493,3295.348214285714,28.59
2023,Feminino,Nao informado,182,,,33.7
2023,Feminino,Pleno,337,7463.406528189911,6802.579207920792,24.21
2023,Feminino,Senior,307,12355.555374592834,11398.524390243903,21.63
2023,Masculino,Gestao,726,18130.0,16800.8,81.03
2023,Masculino,Junior,743,3991.1359353970392,3569.271739130435,71.03
2023,Masculino,Nao informado,353,,,65.37
2023,Masculino,Pleno,1047,7563.059694364852,6771.291353383459,75.22
2023,Masculino,Senior,1106,13863.077305605786,12162.575757575758,77.94
2023,Nao informado,Gestao,2,10500.5,8000.0,0.22
2023,Nao informado,Junior,3,5833.833333333333,6500.75,0.29
2023,Nao informado,Nao informado,3,,,0.56
2023,Nao informado,Pleno,4,6750.5,6000.0,0.29
2023,Nao informado,Senior,4,31000.625,35000.5,0.28
2023,Outro,Junior,1,1500.5,1500.5,0.1
2023,Outro,Nao informado,2,,,0.37
2023,Outro,Pleno,4,6125.5,6000.0,0.29
2023,Outro,Senior,2,8500.5,8000.0,0.14
2024,Feminino,Gestao,199,17633.680904522615,16537.451219512193,19.04
2024,Feminino,Junior,242,4149.247933884298,3500.5,27.88
2024,Feminino,Nao informado,84,,,23.73
2024,Feminino,Pleno,366,7817.439890710382,7228.456140350877,26.58
2024,Feminino,Senior,335,12513.935820895522,11629.722222222223,21.3
2024,Masculino,Gestao,842,20030.227434679335,18415.030487804877,80.57
2024,Masculino,Junior,623,4102.41011235955,3520.3214285714284,71.77
2024,Masculino,Nao informado,268,,,75.71
2024,Masculino,Pleno,1006,8133.69930417495,7272.422794117647,73.06
2024,Masculino,Senior,1229,15058.688364524003,13373.53813559322,78.13
2024,Nao informado,Gestao,3,19167.333333333332,14000.5,0.29
2024,Nao informado,Junior,3,14667.333333333334,2500.5,0.35
2024,Nao informado,Pleno,3,8000.5,7500.25,0.22
2024,Nao informado,Senior,6,15250.583333333334,10667.0,0.38
2024,Outro,Gestao,1,40001.0,40001.0,0.1
2024,Outro,Nao informado,2,,,0.56
2024,Outro,Pleno,2,7000.5,7000.5,0.15
2024,Outro,Senior,3,9000.5,9000.75,0.19
2025,Feminino,Especialista,70,17471.935714285715,15692.384615384615,20.06
2025,Feminino,Gestao,134,17933.34328358209,17091.636363636364,18.43
2025,Feminino,Junior,146,3781.3082191780823,3223.0,28.19
2025,Feminino,Nao informado,66,,,24.72
2025,Feminino,Pleno,174,8345.327586206897,7592.040816326531,22.42
2025,Feminino,Senior,178,12081.969101123595,11164.388059701492,20.75
2025,Masculino,Especialista,276,20201.628623188404,17672.223880597016,79.08
2025,Masculino,Gestao,593,20188.575885328835,18674.75,81.57
2025,Masculino,Junior,367,4323.3705722070845,3652.8898305084745,70.85
2025,Masculino,Nao informado,197,,,73.78
2025,Masculino,Pleno,599,8280.134390651085,7483.017241379311,77.19
2025,Masculino,Senior,675,14907.924444444445,12865.3,78.67
2025,Nao informado,Especialista,2,28750.5,25000.0,0.57
2025,Nao informado,Junior,3,2833.8333333333335,3250.75,0.58
2025,Nao informado,Nao informado,4,,,1.5
2025,Nao informado,Pleno,2,7500.5,6000.0,0.26
2025,Nao informado,Senior,2,22500.5,12000.0,0.23
2025,Outro,Especialista,1,14000.5,14000.5,0.29
2025,Outro,Junior,2,2000.5,2000.0,0.39
2025,Outro,Pleno,1,5000.5,5000.5,0.13
2025,Outro,Senior,3,9000.5,9000.75,0.35
