ano,senioridade,usa_ia,respondentes,salario_medio,salario_mediano_interpolado,grupo,amostra_suficiente
2023,Junior,0,202,4057.4257425742576,3687.8125,Nao usa IA,True
2023,Junior,1,818,3881.968215158924,3463.0375,Usa IA,True
2023,Pleno,0,254,7258.370078740158,6597.7164179104475,Nao usa IA,True
2023,Pleno,1,1105,7608.192760180996,6825.503367003367,Usa IA,True
2023,Senior,0,288,13160.229166666666,11877.581632653062,Nao usa IA,True
2023,Senior,1,1105,13686.482352941177,11975.130597014926,Usa IA,True
2024,Junior,0,46,4065.6847826086955,3750.25,Nao usa IA,True
2024,Junior,1,729,4213.794924554184,3656.141304347826,Usa IA,True
2024,Pleno,0,91,8011.483516483517,6913.586956521739,Nao usa IA,True
2024,Pleno,1,1229,8098.546786004882,7338.319832402234,Usa IA,True
2024,Senior,0,100,14025.51,12757.567567567568,Nao usa IA,True
2024,Senior,1,1424,14617.78511235955,13034.88780487805,Usa IA,True
2025,Especialista,0,5,21200.6,14000.5,Nao usa IA,False
2025,Especialista,1,301,19482.259136212626,17139.604166666668,Usa IA,True
2025,Junior,0,11,4091.3636363636365,3500.5,Nao usa IA,False
2025,Junior,1,379,4450.3562005277045,3843.4402985074626,Usa IA,True
2025,Pleno,0,14,7786.214285714285,8000.0,Nao usa IA,False
2025,Pleno,1,652,8437.61809815951,7628.928143712575,Usa IA,True
2025,Senior,0,14,13536.214285714286,13334.0,Nao usa IA,False
2025,Senior,1,730,14397.774657534246,12409.988636363636,Usa IA,True
