ano,regiao,forma_trabalho,respondentes,salario_medio,salario_mediano_interpolado,percentual
2023,Centro-oeste,Hibrido,66,10742.924242424242,9750.5625,19.19
2023,Centro-oeste,Nao informado,40,,,11.63
2023,Centro-oeste,Presencial,111,8973.472972972973,6867.233333333334,32.27
2023,Centro-oeste,Remoto,127,11228.850393700788,9615.98076923077,36.92
2023,Nao informado,Hibrido,46,21435.33695652174,18667.0,37.1
2023,Nao informado,Nao informado,21,,,16.94
2023,Nao informado,Presencial,8,12625.4375,4000.0,6.45
2023,Nao informado,Remoto,49,17225.020408163266,13500.625,39.52
2023,Nordeste,Hibrido,88,8142.551136363636,6223.111111111111,14.47
2023,Nordeste,Nao informado,107,,,17.6
2023,Nordeste,Presencial,115,5326.573913043479,3690.785714285714,18.91
2023,Nordeste,Remoto,298,9020.632550335571,7681.977272727273,49.01
2023,Norte,Hibrido,14,7571.928571428572,7000.5,16.87
2023,Norte,Nao informado,14,,,16.87
2023,Norte,Presencial,23,6978.717391304348,6500.75,27.71
2023,Norte,Remoto,32,8656.75,6334.166666666667,38.55
2023,Sudeste,Hibrido,1277,11263.232576350822,9120.43838028169,40.25
2023,Sudeste,Nao informado,283,,,8.92
2023,Sudeste,Presencial,364,7452.42032967033,5127.197183098591,11.47
2023,Sudeste,Remoto,1249,11545.783026421137,9960.642857142857,39.36
2023,Sul,Hibrido,271,8926.69741697417,7449.255102040816,28.2
2023,Sul,Nao informado,75,,,7.8
2023,Sul,Presencial,169,5683.923076923077,4490.117021276596,17.59
2023,Sul,Remoto,446,11253.87331838565,9572.035714285714,46.41
2024,Centro-oeste,Hibrido,74,11480.222972972973,9000.75,22.29
2024,Centro-oeste,Nao informado,32,,,9.64
2024,Centro-oeste,Presencial,104,7481.25,5263.526315789473,31.33
2024,Centro-oeste,Remoto,122,11656.233606557376,9067.4,36.75
2024,Nao informado,Hibrido,52,25731.346153846152,25000.0,36.62
2024,Nao informado,Nao informado,12,,,8.45
2024,Nao informado,Presencial,11,13909.59090909091,14000.5,7.75
2024,Nao informado,Remoto,67,19664.731343283584,18889.166666666668,47.18
2024,Nordeste,Hibrido,80,9550.48125,7777.888888888889,15.5
2024,Nordeste,Nao informado,69,,,13.37
2024,Nordeste,Presencial,111,6586.081081081081,4680.66,21.51
2024,Nordeste,Remoto,256,11016.12890625,8857.92857142857,49.61
2024,Norte,Hibrido,8,9688.0,9334.0,12.5
2024,Norte,Nao informado,7,,,10.94
2024,Norte,Presencial,19,5500.5,2916.75,29.69
2024,Norte,Remoto,30,10483.816666666668,8572.285714285714,46.88
2024,Sudeste,Hibrido,1333,13256.702175543885,10911.100318471337,42.56
2024,Sudeste,Nao informado,192,,,6.13
2024,Sudeste,Presencial,349,8466.117478510028,5847.533898305084,11.14
2024,Sudeste,Remoto,1258,13046.215818759936,11167.400630914826,40.17
2024,Sul,Hibrido,302,10040.243377483444,7957.468085106383,29.29
2024,Sul,Nao informado,42,,,4.07
2024,Sul,Presencial,198,7048.477272727273,5532.148936170212,19.2
2024,Sul,Remoto,489,11942.221881390593,10557.503571428571,47.43
2025,Centro-oeste,Hibrido,63,12643.357142857143,10842.394736842105,27.27
2025,Centro-oeste,Nao informado,10,,,4.33
2025,Centro-oeste,Presencial,85,9788.729411764705,8286.642857142857,36.8
2025,Centro-oeste,Remoto,73,15932.061643835616,11538.576923076922,31.6
2025,Nao informado,Hibrido,54,24398.74074074074,24000.2,43.2
2025,Nao informado,Nao informado,18,,,14.4
2025,Nao informado,Presencial,21,15262.452380952382,12400.9,16.8
2025,Nao informado,Remoto,32,19063.0625,15500.125,25.6
2025,Nordeste,Hibrido,70,10936.221428571429,8400.9,18.42
2025,Nordeste,Nao informado,51,,,13.42
2025,Nordeste,Presencial,86,7285.395348837209,4833.916666666667,22.63
2025,Nordeste,Remoto,173,11396.456647398843,10391.70652173913,45.53
2025,Norte,Hibrido,5,10700.4,13000.75,10.42
2025,Norte,Nao informado,12,,,25.0
2025,Norte,Presencial,10,4750.4,3000.0,20.83
2025,Norte,Remoto,21,16452.928571428572,14000.5,43.75
2025,Sudeste,Hibrido,929,13661.976856835307,11345.455156950673,42.79
2025,Sudeste,Nao informado,146,,,6.73
2025,Sudeste,Presencial,351,9504.777777777777,6825.5875,16.17
2025,Sudeste,Remoto,745,14864.277852348992,12629.875,34.32
2025,Sul,Hibrido,155,11261.8,9692.884615384615,28.7
2025,Sul,Nao informado,30,,,5.56
2025,Sul,Presencial,117,7774.004273504273,6218.282608695652,21.67
2025,Sul,Remoto,238,14733.714285714286,12435.673913043478,44.07
