ano,cargo,senioridade,respondentes,idade_media,percentual
2023,,Gestao,896,36.07700892857143,16.93
2023,,Nao informado,540,33.02407407407407,10.2
2023,Analista de Dados/Data Analyst,Pleno,360,30.141666666666666,6.8
2023,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Senior,325,32.966153846153844,6.14
2023,Analista de Dados/Data Analyst,Junior,277,28.28158844765343,5.23
2023,Cientista de Dados/Data Scientist,Senior,272,32.216911764705884,5.14
2023,Analista de Dados/Data Analyst,Senior,270,33.14074074074074,5.1
2023,Cientista de Dados/Data Scientist,Pleno,250,30.248,4.72
2023,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,234,29.192307692307693,4.42
2023,Analista de BI/BI Analyst,Pleno,200,29.6,3.78
2023,Analista de BI/BI Analyst,Junior,176,27.15340909090909,3.33
2023,Cientista de Dados/Data Scientist,Junior,165,26.75151515151515,3.12
2023,Analista de BI/BI Analyst,Senior,130,33.738461538461536,2.46
2023,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Junior,125,28.584,2.36
2023,Outra Opção,Junior,122,29.65573770491803,2.3
2023,Analista de Negócios/Business Analyst,Senior,83,32.8433734939759,1.57
2023,Outra Opção,Pleno,73,33.47945205479452,1.38
2023,Analista de Negócios/Business Analyst,Pleno,69,28.594202898550726,1.3
2023,Analytics Engineer,Senior,69,32.98550724637681,1.3
2023,Outra Opção,Senior,67,38.95522388059702,1.27
2023,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Senior,55,34.4,1.04
2023,Analytics Engineer,Pleno,52,28.384615384615383,0.98
2023,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Senior,51,37.68627450980392,0.96
2023,Analista de Negócios/Business Analyst,Junior,43,26.906976744186046,0.81
2023,Analista de Suporte/Analista Técnico,Pleno,31,34.193548387096776,0.59
2023,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Pleno,30,27.533333333333335,0.57
2023,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Senior,29,32.41379310344828,0.55
2023,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Junior,28,29.035714285714285,0.53
2023,Analista de Suporte/Analista Técnico,Junior,26,29.23076923076923,0.49
2023,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,26,29.96153846153846,0.49
2023,Analytics Engineer,Junior,18,29.055555555555557,0.34
2023,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Pleno,18,31.666666666666668,0.34
2023,Analista de Inteligência de Mercado/Market Intelligence,Junior,16,27.125,0.3
2023,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Junior,16,24.5,0.3
2023,Analista de Inteligência de Mercado/Market Intelligence,Pleno,15,28.666666666666668,0.28
2023,Analista de Suporte/Analista Técnico,Senior,15,40.93333333333333,0.28
2023,DBA/Administrador de Banco de Dados,Senior,13,41.38461538461539,0.25
2023,Professor/Pesquisador,Senior,13,41.53846153846154,0.25
2023,Outras Engenharias (não inclui dev),Senior,12,38.916666666666664,0.23
2023,Outras Engenharias (não inclui dev),Junior,10,28.8,0.19
2023,Estatístico,Pleno,9,43.111111111111114,0.17
2023,Outras Engenharias (não inclui dev),Pleno,9,34.666666666666664,0.17
2023,Professor/Pesquisador,Pleno,9,37.888888888888886,0.17
2023,Analista de Inteligência de Mercado/Market Intelligence,Senior,8,33.125,0.15
2023,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Junior,8,33.625,0.15
2023,Estatístico,Junior,7,26.857142857142858,0.13
2023,Professor/Pesquisador,Junior,6,34.333333333333336,0.11
2023,DBA/Administrador de Banco de Dados,Pleno,5,30.2,0.09
2023,Estatístico,Senior,5,41.2,0.09
2023,DBA/Administrador de Banco de Dados,Junior,2,30.5,0.04
