ano,recorte,dimensao_1,dimensao_2,respondentes,salario_mediano_interpolado,salario_mediano,salario_medio,p25,p75,amostra_suficiente
2023,cargo,,,896,16193.722891566265,18000.5,17519.494977678572,10000.5,22500.5,True
2023,cargo,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),,81,11481.611111111111,10000.5,11346.17901234568,10000.5,14000.5,True
2023,cargo,Engenheiro de Machine Learning/ML Engineer/AI Engineer,,75,10636.704545454546,10000.5,12500.5,7000.5,16000.5,True
2023,cargo,DBA/Administrador de Banco de Dados,,20,10222.666666666668,10000.5,11100.525,9250.5,14000.5,False
2023,cargo,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,,684,10116.873015873016,10000.5,11586.103801169591,7000.5,14000.5,True
2023,cargo,Analytics Engineer,,139,9842.644736842105,10000.5,11040.068345323742,7000.5,14000.5,True
2023,cargo,Cientista de Dados/Data Scientist,,687,9606.367788461539,10000.5,10532.526200873363,7000.5,14000.5,True
2023,cargo,Economista,,5,9000.75,10000.5,11200.5,7000.5,10000.5,False
2023,cargo,Professor/Pesquisador,,28,8667.5,10000.5,10804.07142857143,3500.5,14000.5,False
2023,cargo,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,,105,7533.566666666667,7000.5,9729.076190476191,5000.5,14000.5,True
2023,cargo,Estatístico,,21,7500.25,7000.5,10286.190476190477,5000.5,18000.5,False
2023,cargo,Outras Engenharias (não inclui dev),,31,7000.5,7000.5,8516.612903225807,3000.5,10000.5,True
2023,cargo,Analista de Negócios/Business Analyst,,195,6500.75,7000.5,7164.602564102564,5000.5,10000.5,True
2023,cargo,Analista de Dados/Data Analyst,,907,6044.188271604939,7000.5,7137.765711135612,3500.5,10000.5,True
2023,cargo,Analista de BI/BI Analyst,,506,5338.460431654676,5000.5,6244.568181818182,3500.5,7000.5,True
2023,cargo,Analista de Inteligência de Mercado/Market Intelligence,,39,4778.388888888889,5000.5,5603.0641025641025,2500.5,7000.5,True
2023,cargo,Outra Opção,,262,3948.7692307692305,3500.5,6265.761450381679,2500.5,7000.5,True
2023,cargo,Analista de Suporte/Analista Técnico,,72,3556.0,3500.5,4389.381944444444,2500.5,5000.5,True
2023,cargo_senioridade,Estatístico,Senior,5,19000.25,18000.5,21500.5,18000.5,22500.5,False
2023,cargo_senioridade,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Senior,29,16286.642857142857,18000.5,18241.896551724138,14000.5,22500.5,False
2023,cargo_senioridade,,Gestao,896,16193.722891566265,18000.5,17519.494977678572,10000.5,22500.5,True
2023,cargo_senioridade,Professor/Pesquisador,Senior,13,14500.375,14000.5,17577.46153846154,10000.5,22500.5,False
2023,cargo_senioridade,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Senior,325,14130.097222222223,14000.5,16211.284615384615,10000.5,18000.5,True
2023,cargo_senioridade,Cientista de Dados/Data Scientist,Senior,272,14019.18691588785,14000.5,15487.645220588236,10000.5,18000.5,True
2023,cargo_senioridade,Analytics Engineer,Senior,69,13048.357142857143,14000.5,14486.007246376812,10000.5,18000.5,True
2023,cargo_senioridade,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Senior,51,12770.038461538461,14000.5,14304.441176470587,10000.5,18000.5,True
2023,cargo_senioridade,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Senior,55,12667.5,14000.5,12645.954545454546,10000.5,14000.5,True
2023,cargo_senioridade,Economista,Senior,2,12000.0,18750.5,18750.5,14375.5,23125.5,False
2023,cargo_senioridade,DBA/Administrador de Banco de Dados,Senior,13,11714.357142857143,10000.5,14154.384615384615,10000.5,14000.5,False
2023,cargo_senioridade,Outra Opção,Senior,67,11125.21875,10000.5,12127.388059701492,7000.5,14000.5,True
2023,cargo_senioridade,Outras Engenharias (não inclui dev),Senior,12,11000.25,10000.5,13958.833333333334,9250.5,19125.5,False
2023,cargo_senioridade,Analista de Dados/Data Analyst,Senior,270,10241.574468085106,10000.5,11070.872222222222,10000.5,14000.5,True
2023,cargo_senioridade,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Pleno,30,9846.692307692309,10000.5,11150.5,7000.5,13000.5,True
2023,cargo_senioridade,Analista de Inteligência de Mercado/Market Intelligence,Senior,8,9600.6,10000.5,10563.0,9250.5,10000.5,False
2023,cargo_senioridade,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Pleno,18,9500.625,10000.5,9583.833333333334,7000.5,10000.5,False
2023,cargo_senioridade,Analista de BI/BI Analyst,Senior,130,9164.345454545455,10000.5,10069.73076923077,7000.5,10000.5,True
2023,cargo_senioridade,Analista de Negócios/Business Analyst,Senior,83,9056.291666666666,10000.5,9627.006024096385,7000.5,10000.5,True
2023,cargo_senioridade,Estatístico,Pleno,9,8667.5,10000.5,9778.277777777777,5000.5,10000.5,False
2023,cargo_senioridade,Cientista de Dados/Data Scientist,Pleno,250,8509.963636363636,10000.5,8860.5,7000.5,10000.5,True
2023,cargo_senioridade,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,234,8180.730337078651,10000.5,8966.311965811965,7000.5,10000.5,True
2023,cargo_senioridade,Economista,Pleno,2,8000.0,8500.5,8500.5,7750.5,9250.5,False
2023,cargo_senioridade,Analytics Engineer,Pleno,52,7700.15,7000.5,8875.5,7000.5,10000.5,True
2023,cargo_senioridade,Analista de Suporte/Analista Técnico,Senior,15,7250.375,7000.5,7500.5,5000.5,10000.5,False
2023,cargo_senioridade,DBA/Administrador de Banco de Dados,Pleno,5,7000.5,7000.5,6800.5,3500.5,10000.5,False
2023,cargo_senioridade,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,26,6500.75,7000.5,7519.7307692307695,5000.5,9250.5,False
2023,cargo_senioridade,Outras Engenharias (não inclui dev),Pleno,9,6250.875,7000.5,5500.444444444444,3500.5,7000.5,False
2023,cargo_senioridade,Analista de Dados/Data Analyst,Pleno,360,6127.063063063063,7000.5,6761.6125,5000.5,7000.5,True
2023,cargo_senioridade,Analista de Negócios/Business Analyst,Pleno,69,5869.630434782609,5000.5,6355.572463768116,5000.5,7000.5,True
2023,cargo_senioridade,Analista de BI/BI Analyst,Pleno,200,5623.717647058824,5000.5,6405.5025,5000.5,7000.5,True
2023,cargo_senioridade,Analista de Inteligência de Mercado/Market Intelligence,Pleno,15,5500.25,5000.5,5700.5,5000.5,7000.5,False
2023,cargo_senioridade,Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO),Junior,8,5000.5,5000.5,6375.5,4625.5,5500.5,False
2023,cargo_senioridade,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Junior,16,4800.6,5000.5,4625.46875,1500.5,7000.5,False
2023,cargo_senioridade,Cientista de Dados/Data Scientist,Junior,165,4558.413461538462,5000.5,4897.460606060606,2500.5,7000.5,True
2023,cargo_senioridade,Professor/Pesquisador,Pleno,9,4500.75,5000.5,5111.555555555556,3500.5,7000.5,False
2023,cargo_senioridade,Analytics Engineer,Junior,18,4400.8,5000.5,4083.8333333333335,2750.5,5000.5,False
2023,cargo_senioridade,Outra Opção,Pleno,73,4369.236842105263,5000.5,5486.801369863014,2500.5,7000.5,True
2023,cargo_senioridade,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Junior,125,4185.118421052632,5000.5,4464.884,2500.5,5000.5,True
2023,cargo_senioridade,Analista de Suporte/Analista Técnico,Pleno,31,3833.5,3500.5,4306.935483870968,3000.5,5000.5,True
2023,cargo_senioridade,Analista de Dados/Data Analyst,Junior,277,3573.008064516129,3500.5,3792.9151624548736,2500.5,5000.5,True
2023,cargo_senioridade,Analista de Negócios/Business Analyst,Junior,43,3562.9375,3500.5,3709.8023255813955,2500.5,5000.5,True
2023,cargo_senioridade,Analista de BI/BI Analyst,Junior,176,3000.0,3000.5,3236.284090909091,1500.5,5000.5,True
2023,cargo_senioridade,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Junior,28,3000.0,3000.5,3446.910714285714,2500.5,5000.5,False
2023,cargo_senioridade,Outra Opção,Junior,122,2788.090909090909,2500.5,3512.7704918032787,1500.5,4625.5,True
2023,cargo_senioridade,Outras Engenharias (não inclui dev),Junior,10,2667.0,2500.5,4700.5,1750.5,8750.5,False
2023,cargo_senioridade,Analista de Suporte/Analista Técnico,Junior,26,2583.75,2500.5,2692.8076923076924,2500.5,3500.5,False
2023,cargo_senioridade,Analista de Inteligência de Mercado/Market Intelligence,Junior,16,2429.142857142857,2500.5,3031.75,1500.5,2750.5,False
2023,cargo_senioridade,DBA/Administrador de Banco de Dados,Junior,2,2000.0,2000.5,2000.5,1750.5,2250.5,False
2023,cargo_senioridade,Professor/Pesquisador,Junior,6,2000.0,2500.5,4667.166666666667,1500.5,8375.5,False
2023,cargo_senioridade,Estatístico,Junior,7,1833.5,1500.5,2929.0,1500.5,4250.5,False
2023,cargo_senioridade,Economista,Junior,1,1500.5,1500.5,1500.5,1500.5,1500.5,False
2023,forma_trabalho,Remoto,,2201,9538.783396946565,10000.5,11210.888232621535,5000.5,14000.5,True
2023,forma_trabalho,Hibrido,,1762,8823.41645244216,10000.5,10964.751986379115,5000.5,14000.5,True
2023,forma_trabalho,Presencial,,790,4919.795031055901,5000.5,7016.948734177216,2500.5,10000.5,True
2023,forma_trabalho_senioridade,Hibrido,Gestao,404,17278.458333333332,18000.5,18788.89108910891,14000.5,22500.5,True
2023,forma_trabalho_senioridade,Remoto,Gestao,337,17103.28846153846,18000.5,18194.88575667656,14000.5,22500.5,True
2023,forma_trabalho_senioridade,Remoto,Senior,796,12944.764,14000.5,14606.668341708542,10000.5,18000.5,True
2023,forma_trabalho_senioridade,Hibrido,Senior,495,11313.60447761194,10000.5,12769.192929292929,10000.5,14000.5,True
2023,forma_trabalho_senioridade,Presencial,Gestao,155,10579.302631578947,10000.5,12742.445161290323,7000.5,18000.5,True
