ano;codigo_questao;rotulo;cabecalho_original
2023;0;id;('P0', 'id')
2023;1.a;Idade;('P1_a ', 'Idade')
2023;1.a.1;Faixa idade;('P1_a_1 ', 'Faixa idade')
2023;1.b;Genero;('P1_b ', 'Genero')
2023;1.c;Cor/raca/etnia;('P1_c ', 'Cor/raca/etnia')
2023;1.d;PCD;('P1_d ', 'PCD')
2023;1.e;experiencia_profissional_prejudicada;('P1_e ', 'experiencia_profissional_prejudicada')
2023;1.e.1;Não acredito que minha experiência profissional seja afetada;('P1_e_1 ', 'Não acredito que minha experiência profissional seja afetada')
2023;1.e.2;Experiencia prejudicada devido a minha Cor Raça Etnia;('P1_e_2 ', 'Experiencia prejudicada devido a minha Cor Raça Etnia')
2023;1.e.3;Experiencia prejudicada devido a minha identidade de gênero;('P1_e_3 ', 'Experiencia prejudicada devido a minha identidade de gênero')
2023;1.e.4;Experiencia prejudicada devido ao fato de ser PCD;('P1_e_4 ', 'Experiencia prejudicada devido ao fato de ser PCD')
2023;1.f;aspectos_prejudicados;('P1_f ', 'aspectos_prejudicados')
2023;1.f.1;Quantidade de oportunidades de emprego/vagas recebidas;('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')
2023;1.f.2;Senioridade das vagas recebidas em relação à sua experiência;('P1_f_2', 'Senioridade das vagas recebidas em relação à sua experiência')
2023;1.f.3;Aprovação em processos seletivos/entrevistas;('P1_f_3', 'Aprovação em processos seletivos/entrevistas')
2023;1.f.4;Oportunidades de progressão de carreira;('P1_f_4', 'Oportunidades de progressão de carreira')
2023;1.f.5;Velocidade de progressão de carreira;('P1_f_5', 'Velocidade de progressão de carreira')
2023;1.f.6;Nível de cobrança no trabalho/Stress no trabalho;('P1_f_6', 'Nível de cobrança no trabalho/Stress no trabalho')
2023;1.f.7;Atenção dada diante das minhas opiniões e ideias;('P1_f_7', 'Atenção dada diante das minhas opiniões e ideias')
2023;1.f.8;Relação com outros membros da empresa, em momentos de trabalho;('P1_f_8', 'Relação com outros membros da empresa, em momentos de trabalho')
2023;1.f.9;Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho;('P1_f_9', 'Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho')
2023;1.g;vive_no_brasil;('P1_g ', 'vive_no_brasil')
2023;1.i;Estado onde mora;('P1_i ', 'Estado onde mora')
2023;1.i.1;uf onde mora;('P1_i_1 ', 'uf onde mora')
2023;1.i.2;Regiao onde mora;('P1_i_2 ', 'Regiao onde mora')
2023;1.j;Mudou de Estado?;('P1_j ', 'Mudou de Estado?')
2023;1.k;Regiao de origem;('P1_k ', 'Regiao de origem')
2023;1.l;Nivel de Ensino;('P1_l ', 'Nivel de Ensino')
2023;1.m;Área de Formação;('P1_m ', 'Área de Formação')
2023;2.a;Qual sua situação atual de trabalho?;('P2_a ', 'Qual sua situação atual de trabalho?')
2023;2.b;Setor;('P2_b ', 'Setor')
2023;2.c;Numero de Funcionarios;('P2_c ', 'Numero de Funcionarios')
2023;2.d;Gestor?;('P2_d ', 'Gestor?')
2023;2.e;Cargo como Gestor;('P2_e ', 'Cargo como Gestor')
2023;2.f;Cargo Atual;('P2_f ', 'Cargo Atual')
2023;2.g;Nivel;('P2_g ', 'Nivel')
2023;2.h;Faixa salarial;('P2_h ', 'Faixa salarial')
2023;2.i;Quanto tempo de experiência na área de dados você tem?;('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')
2023;2.j;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?;('P2_j ', 'Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?')
2023;2.k;Você está satisfeito na sua empresa atual?;('P2_k ', 'Você está satisfeito na sua empresa atual?')
2023;2.l;Qual o principal motivo da sua insatisfação com a empresa atual?;('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?')
2023;2.l.1;Falta de oportunidade de crescimento no emprego atual;('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual')
2023;2.l.2;Salário atual não corresponde ao mercado;('P2_l_2 ', 'Salário atual não corresponde ao mercado')
2023;2.l.3;Não tenho uma boa relação com meu líder/gestor;('P2_l_3 ', 'Não tenho uma boa relação com meu líder/gestor')
2023;2.l.4;Gostaria de trabalhar em em outra área de atuação;('P2_l_4 ', 'Gostaria de trabalhar em em outra área de atuação')
2023;2.l.5;Gostaria de receber mais benefícios;('P2_l_5 ', 'Gostaria de receber mais benefícios')
2023;2.l.6;O clima de trabalho/ambiente não é bom;('P2_l_6 ', 'O clima de trabalho/ambiente não é bom')
2023;2.l.7;Falta de maturidade analítica na empresa;('P2_l_7 ', 'Falta de maturidade analítica na empresa')
2023;2.m;Você participou de entrevistas de emprego nos últimos 6 meses?;('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')
2023;2.n;Você pretende mudar de emprego nos próximos 6 meses?;('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?')
2023;2.o;Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?;('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')
2023;2.o.1;Remuneração/Salário;('P2_o_1 ', 'Remuneração/Salário')
2023;2.o.2;Benefícios;('P2_o_2 ', 'Benefícios')
2023;2.o.3;Propósito do trabalho e da empresa;('P2_o_3 ', 'Propósito do trabalho e da empresa')
2023;2.o.4;Flexibilidade de trabalho remoto;('P2_o_4 ', 'Flexibilidade de trabalho remoto')
2023;2.o.5;Ambiente e clima de trabalho;('P2_o_5 ', 'Ambiente e clima de trabalho')
2023;2.o.6;Oportunidade de aprendizado e trabalhar com referências na área;('P2_o_6 ', 'Oportunidade de aprendizado e trabalhar com referências na área')
2023;2.o.7;Plano de carreira e oportunidades de crescimento profissional;('P2_o_7 ', 'Plano de carreira e oportunidades de crescimento profissional')
2023;2.o.8;Maturidade da empresa em termos de tecnologia e dados;('P2_o_8 ', 'Maturidade da empresa em termos de tecnologia e dados')
