ano,id_respondente,idade,genero,cor_raca_etnia,pcd,estado_moradia,uf_moradia,regiao,nivel_ensino,area_formacao,situacao_trabalho,setor_empresa,porte_empresa,cargo,senioridade,faixa_salarial,tempo_experiencia_dados,tempo_experiencia_ti,forma_trabalho,forma_trabalho_ideal,salario_mensal_estimado,faixa_inferior,faixa_superior,satisfacao_empresa,atua_como_gestor,usa_ia,tipo_uso_ia,tipo_uso_ia_empresa,ia_prioridade_empresa
2023,2023-0,31,Masculino,Branca,Não,Minas Gerais (MG),MG,Sudeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,Senior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Hibrido,Remoto,14000.5,12001.0,16000.0,0,0,0,Nenhuma,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes)., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento.",
2023,2023-1,30,Masculino,Branca,Não,Espírito Santo (ES),ES,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 101 a 500,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 3 a 4 anos,Remoto,Remoto,7000.5,6001.0,8000.0,1,0,1,Paga,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",
2023,2023-2,37,Feminino,Amarela,Não,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Dados/Data Analyst,Junior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,Hibrido,Remoto,7000.5,6001.0,8000.0,1,0,1,Gratuita,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",
2023,2023-3,22,Masculino,Preta,Não,São Paulo (SP),SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,Nao informado,,,,Nao informado,Nao informado,,,,,,,,,
2023,2023-4,34,Masculino,Branca,Não,Minas Gerais (MG),MG,Sudeste,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Outra Opção,de 101 a 500,Analista de Dados/Data Analyst,Junior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Menos de 1 ano,Remoto,Remoto,5000.5,4001.0,6000.0,1,0,1,Gratuita,Não sei opinar.,
2023,2023-5,30,Masculino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Remoto,Remoto,10000.5,8001.0,12000.0,1,0,1,Gratuita,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",
2023,2023-6,24,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Hibrido,Hibrido,5000.5,4001.0,6000.0,1,0,1,Gratuita,"Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",
2023,2023-7,35,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,,Gestao,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,de 7 a 10 anos,Remoto,Remoto,22500.5,20001.0,25000.0,1,1,,,,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
2023,2023-8,27,Masculino,Parda,Não,Rio de Janeiro (RJ),RJ,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Trabalho na área Acadêmica/Pesquisador,,,,Nao informado,,,,Nao informado,Nao informado,,,,,,,,,
2023,2023-9,28,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,Nao informado,,,,Nao informado,Nao informado,,,,,,,,,
